E /V,t /s,I /A
0.25,0.126,-3.33E-08
0.25,0.128,-3.26E-08
0.25,0.13,-3.20E-08
0.25,0.132,-3.14E-08
0.25,0.134,-3.08E-08
0.25,0.136,-3.04E-08
0.25,0.138,-2.99E-08
0.25,0.14,-2.95E-08
0.25,0.142,-2.91E-08
0.25,0.144,-2.88E-08
0.25,0.146,-2.85E-08
0.25,0.148,-2.82E-08
0.25,0.15,-2.79E-08
0.25,0.155,-2.72E-08
0.25,0.16,-2.67E-08
0.25,0.165,-2.62E-08
0.25,0.17,-2.57E-08
0.25,0.175,-2.53E-08
0.25,0.18,-2.50E-08
0.25,0.185,-2.47E-08
0.25,0.19,-2.44E-08
0.25,0.195,-2.41E-08
0.25,0.2,-2.39E-08
0.25,0.21,-2.34E-08
0.25,0.22,-2.30E-08
0.25,0.23,-2.27E-08
0.25,0.24,-2.24E-08
0.25,0.25,-2.22E-08
0.25,0.26,-2.19E-08
0.25,0.27,-2.17E-08
0.25,0.28,-2.15E-08
0.25,0.29,-2.13E-08
0.25,0.3,-2.12E-08
0.25,0.32,-2.09E-08
0.25,0.34,-2.06E-08
0.25,0.36,-2.04E-08
0.25,0.38,-2.02E-08
0.25,0.4,-2.00E-08
0.25,0.42,-1.98E-08
0.25,0.44,-1.97E-08
0.25,0.46,-1.96E-08
0.25,0.48,-1.94E-08
0.25,0.5,-1.93E-08
0.25,0.52,-1.92E-08
0.25,0.54,-1.91E-08
0.25,0.56,-1.90E-08
0.25,0.58,-1.89E-08
0.25,0.6,-1.89E-08
0.25,0.65,-1.87E-08
0.25,0.7,-1.85E-08
0.25,0.75,-1.84E-08
0.25,0.8,-1.83E-08
0.25,0.85,-1.82E-08
0.25,0.9,-1.81E-08
0.25,0.95,-1.80E-08
0.25,1,-1.79E-08
0.25,1.05,-1.78E-08
0.25,1.1,-1.77E-08
0.25,1.2,-1.76E-08
0.25,1.3,-1.75E-08
0.25,1.4,-1.74E-08
0.25,1.5,-1.73E-08
0.25,1.6,-1.72E-08
0.25,1.7,-1.72E-08
0.25,1.8,-1.71E-08
0.25,1.9,-1.70E-08
0.25,2,-1.70E-08
0.25,2.1,-1.69E-08
0.25,2.3,-1.69E-08
0.25,2.5,-1.68E-08
0.25,2.7,-1.67E-08
0.25,2.9,-1.66E-08
0.25,3.1,-1.66E-08
0.25,3.3,-1.65E-08
0.25,3.5,-1.65E-08
0.25,3.7,-1.65E-08
0.25,3.9,-1.64E-08
0.25,4.1,-1.64E-08
0.25,4.3,-1.64E-08
0.25,4.5,-1.63E-08
0.25,4.7,-1.63E-08
0.25,4.9,-1.63E-08
0.25,5.1,-1.62E-08
0.25,5.6,-1.62E-08
0.25,6.1,-1.61E-08
0.25,6.6,-1.61E-08
0.25,7.1,-1.61E-08
0.25,7.6,-1.60E-08
0.25,8.1,-1.60E-08
0.25,8.6,-1.60E-08
0.25,9.1,-1.59E-08
0.25,9.6,-1.59E-08
0.25,10.1,-1.59E-08
0.25,11.1,-1.59E-08
0.25,12.1,-1.58E-08
0.25,13.1,-1.58E-08
0.25,14.1,-1.58E-08
0.25,15.1,-1.57E-08
0.25,16.1,-1.57E-08
0.25,17.1,-1.57E-08
0.25,18.1,-1.57E-08
0.25,19.1,-1.57E-08
0.25,20.1,-1.56E-08
0.25,22.1,-1.56E-08
0.25,24.1,-1.56E-08
0.25,26.1,-1.56E-08
0.25,28.1,-1.56E-08
0.25,30.1,-1.55E-08
0.25,32.1,-1.55E-08
0.25,34.1,-1.55E-08
0.25,36.1,-1.55E-08
0.25,38.1,-1.55E-08
0.25,40.1,-1.55E-08
0.25,42.1,-1.55E-08
0.25,44.1,-1.55E-08
0.25,46.1,-1.54E-08
0.25,48.1,-1.54E-08
0.25,50.1,-1.54E-08
0.25,55.1,-1.54E-08
0.25,60.1,-1.54E-08
0.25,65.1,-1.54E-08
0.25,70.1,-1.54E-08
0.25,75.1,-1.54E-08
0.25,80.1,-1.53E-08
0.25,85.1,-1.53E-08
0.25,90.1,-1.53E-08
0.25,95.1,-1.53E-08
0.25,100.1,-1.53E-08
0.26,0,-1.04E-11
0.26,0.01,-1.02E-11
0.26,0.02,-1.01E-11
0.26,0.03,-9.93E-12
0.26,0.04,-9.81E-12
0.26,0.05,-9.71E-12
0.26,0.06,-9.63E-12
0.26,0.07,-9.55E-12
0.26,0.08,-9.49E-12
0.26,0.09,-9.42E-12
0.26,0.091,-9.42E-12
0.26,0.092,-9.41E-12
0.26,0.093,-9.41E-12
0.26,0.094,-9.40E-12
0.26,0.095,-9.40E-12
0.26,0.096,-9.39E-12
0.26,0.097,-9.38E-12
0.26,0.098,-9.38E-12
0.26,0.099,-9.37E-12
0.26,0.1,-2.32E-08
0.26,0.1001,-2.85E-07
0.26,0.1002,-2.20E-07
0.26,0.1003,-1.87E-07
0.26,0.1004,-1.67E-07
0.26,0.1005,-1.52E-07
0.26,0.1006,-1.41E-07
0.26,0.1007,-1.32E-07
0.26,0.1008,-1.25E-07
0.26,0.1009,-1.19E-07
0.26,0.101,-1.14E-07
0.26,0.1011,-1.09E-07
0.26,0.1012,-1.06E-07
0.26,0.1013,-1.02E-07
0.26,0.1014,-9.89E-08
0.26,0.1015,-9.61E-08
0.26,0.1016,-9.36E-08
0.26,0.1017,-9.12E-08
0.26,0.1018,-8.91E-08
0.26,0.1019,-8.71E-08
0.26,0.102,-8.53E-08
0.26,0.1022,-8.20E-08
0.26,0.1024,-7.90E-08
0.26,0.1026,-7.65E-08
0.26,0.1028,-7.42E-08
0.26,0.103,-7.21E-08
0.26,0.1032,-7.03E-08
0.26,0.1034,-6.86E-08
0.26,0.1036,-6.70E-08
0.26,0.1038,-6.56E-08
0.26,0.104,-6.42E-08
0.26,0.1042,-6.30E-08
0.26,0.1044,-6.19E-08
0.26,0.1046,-6.08E-08
0.26,0.1048,-5.98E-08
0.26,0.105,-5.88E-08
0.26,0.1055,-5.67E-08
0.26,0.106,-5.48E-08
0.26,0.1065,-5.31E-08
0.26,0.107,-5.17E-08
0.26,0.1075,-5.04E-08
0.26,0.108,-4.92E-08
0.26,0.1085,-4.81E-08
0.26,0.109,-4.71E-08
0.26,0.1095,-4.62E-08
0.26,0.11,-4.53E-08
0.26,0.111,-4.38E-08
0.26,0.112,-4.25E-08
0.26,0.113,-4.13E-08
0.26,0.114,-4.03E-08
0.26,0.115,-3.94E-08
0.26,0.116,-3.85E-08
0.26,0.117,-3.78E-08
0.26,0.118,-3.71E-08
0.26,0.119,-3.65E-08
0.26,0.12,-3.59E-08
0.26,0.122,-3.48E-08
0.26,0.124,-3.39E-08
0.26,0.126,-3.31E-08
0.26,0.128,-3.24E-08
0.26,0.13,-3.17E-08
0.26,0.132,-3.12E-08
0.26,0.134,-3.06E-08
0.26,0.136,-3.02E-08
0.26,0.138,-2.97E-08
0.26,0.14,-2.93E-08
0.26,0.142,-2.89E-08
0.26,0.144,-2.86E-08
0.26,0.146,-2.83E-08
0.26,0.148,-2.80E-08
0.26,0.15,-2.77E-08
0.26,0.155,-2.70E-08
0.26,0.16,-2.65E-08
0.26,0.165,-2.60E-08
0.26,0.17,-2.56E-08
0.26,0.175,-2.52E-08
0.26,0.18,-2.48E-08
0.26,0.185,-2.45E-08
0.26,0.19,-2.42E-08
0.26,0.195,-2.40E-08
0.26,0.2,-2.37E-08
0.26,0.21,-2.33E-08
0.26,0.22,-2.29E-08
0.26,0.23,-2.26E-08
0.26,0.24,-2.23E-08
0.26,0.25,-2.20E-08
0.26,0.26,-2.18E-08
0.26,0.27,-2.16E-08
0.26,0.28,-2.14E-08
0.26,0.29,-2.12E-08
0.26,0.3,-2.10E-08
0.26,0.32,-2.07E-08
0.26,0.34,-2.05E-08
0.26,0.36,-2.03E-08
0.26,0.38,-2.01E-08
0.26,0.4,-1.99E-08
0.26,0.42,-1.97E-08
0.26,0.44,-1.96E-08
0.26,0.46,-1.94E-08
0.26,0.48,-1.93E-08
0.26,0.5,-1.92E-08
0.26,0.52,-1.91E-08
0.26,0.54,-1.90E-08
0.26,0.56,-1.89E-08
0.26,0.58,-1.88E-08
0.26,0.6,-1.88E-08
0.26,0.65,-1.86E-08
0.26,0.7,-1.84E-08
0.26,0.75,-1.83E-08
0.26,0.8,-1.82E-08
0.26,0.85,-1.81E-08
0.26,0.9,-1.80E-08
0.26,0.95,-1.79E-08
0.26,1,-1.78E-08
0.26,1.05,-1.77E-08
0.26,1.1,-1.76E-08
0.26,1.2,-1.75E-08
0.26,1.3,-1.74E-08
0.26,1.4,-1.73E-08
0.26,1.5,-1.72E-08
0.26,1.6,-1.71E-08
0.26,1.7,-1.71E-08
0.26,1.8,-1.70E-08
0.26,1.9,-1.70E-08
0.26,2,-1.69E-08
0.26,2.1,-1.69E-08
0.26,2.3,-1.68E-08
0.26,2.5,-1.67E-08
0.26,2.7,-1.66E-08
0.26,2.9,-1.66E-08
0.26,3.1,-1.65E-08
0.26,3.3,-1.65E-08
0.26,3.5,-1.64E-08
0.26,3.7,-1.64E-08
0.26,3.9,-1.63E-08
0.26,4.1,-1.63E-08
0.26,4.3,-1.63E-08
0.26,4.5,-1.62E-08
0.26,4.7,-1.62E-08
0.26,4.9,-1.62E-08
0.26,5.1,-1.62E-08
0.26,5.6,-1.61E-08
0.26,6.1,-1.61E-08
0.26,6.6,-1.60E-08
0.26,7.1,-1.60E-08
0.26,7.6,-1.59E-08
0.26,8.1,-1.59E-08
0.26,8.6,-1.59E-08
0.26,9.1,-1.59E-08
0.26,9.6,-1.58E-08
0.26,10.1,-1.58E-08
0.26,11.1,-1.58E-08
0.26,12.1,-1.57E-08
0.26,13.1,-1.57E-08
0.26,14.1,-1.57E-08
0.26,15.1,-1.57E-08
0.26,16.1,-1.56E-08
0.26,17.1,-1.56E-08
0.26,18.1,-1.56E-08
0.26,19.1,-1.56E-08
0.26,20.1,-1.56E-08
0.26,22.1,-1.55E-08
0.26,24.1,-1.55E-08
0.26,26.1,-1.55E-08
0.26,28.1,-1.55E-08
0.26,30.1,-1.55E-08
0.26,32.1,-1.54E-08
0.26,34.1,-1.54E-08
0.26,36.1,-1.54E-08
0.26,38.1,-1.54E-08
0.26,40.1,-1.54E-08
0.26,42.1,-1.54E-08
0.26,44.1,-1.54E-08
0.26,46.1,-1.54E-08
0.26,48.1,-1.54E-08
0.26,50.1,-1.54E-08
0.26,55.1,-1.53E-08
0.26,60.1,-1.53E-08
0.26,65.1,-1.53E-08
0.26,70.1,-1.53E-08
0.26,75.1,-1.53E-08
0.26,80.1,-1.53E-08
0.26,85.1,-1.53E-08
0.26,90.1,-1.53E-08
0.26,95.1,-1.53E-08
0.26,100.1,-1.52E-08
0.27,0,-1.04E-11
0.27,0.01,-1.02E-11
0.27,0.02,-1.01E-11
0.27,0.03,-9.93E-12
0.27,0.04,-9.81E-12
0.27,0.05,-9.71E-12
0.27,0.06,-9.63E-12
0.27,0.07,-9.55E-12
0.27,0.08,-9.49E-12
0.27,0.09,-9.42E-12
0.27,0.091,-9.42E-12
0.27,0.092,-9.41E-12
0.27,0.093,-9.41E-12
0.27,0.094,-9.40E-12
0.27,0.095,-9.40E-12
0.27,0.096,-9.39E-12
0.27,0.097,-9.38E-12
0.27,0.098,-9.38E-12
0.27,0.099,-9.37E-12
0.27,0.1,-2.15E-08
0.27,0.1001,-2.67E-07
0.27,0.1002,-2.10E-07
0.27,0.1003,-1.81E-07
0.27,0.1004,-1.61E-07
0.27,0.1005,-1.48E-07
0.27,0.1006,-1.37E-07
0.27,0.1007,-1.29E-07
0.27,0.1008,-1.22E-07
0.27,0.1009,-1.17E-07
0.27,0.101,-1.12E-07
0.27,0.1011,-1.07E-07
0.27,0.1012,-1.04E-07
0.27,0.1013,-1.00E-07
0.27,0.1014,-9.74E-08
0.27,0.1015,-9.47E-08
0.27,0.1016,-9.22E-08
0.27,0.1017,-8.99E-08
0.27,0.1018,-8.78E-08
0.27,0.1019,-8.59E-08
0.27,0.102,-8.41E-08
0.27,0.1022,-8.09E-08
0.27,0.1024,-7.81E-08
0.27,0.1026,-7.56E-08
0.27,0.1028,-7.33E-08
0.27,0.103,-7.13E-08
0.27,0.1032,-6.95E-08
0.27,0.1034,-6.78E-08
0.27,0.1036,-6.63E-08
0.27,0.1038,-6.49E-08
0.27,0.104,-6.36E-08
0.27,0.1042,-6.24E-08
0.27,0.1044,-6.12E-08
0.27,0.1046,-6.02E-08
0.27,0.1048,-5.92E-08
0.27,0.105,-5.83E-08
0.27,0.1055,-5.61E-08
0.27,0.106,-5.43E-08
0.27,0.1065,-5.27E-08
0.27,0.107,-5.12E-08
0.27,0.1075,-4.99E-08
0.27,0.108,-4.87E-08
0.27,0.1085,-4.77E-08
0.27,0.109,-4.67E-08
0.27,0.1095,-4.58E-08
0.27,0.11,-4.49E-08
0.27,0.111,-4.34E-08
0.27,0.112,-4.21E-08
0.27,0.113,-4.10E-08
0.27,0.114,-4.00E-08
0.27,0.115,-3.91E-08
0.27,0.116,-3.82E-08
0.27,0.117,-3.75E-08
0.27,0.118,-3.68E-08
0.27,0.119,-3.62E-08
0.27,0.12,-3.56E-08
0.27,0.122,-3.45E-08
0.27,0.124,-3.36E-08
0.27,0.126,-3.28E-08
0.27,0.128,-3.21E-08
0.27,0.13,-3.15E-08
0.27,0.132,-3.09E-08
0.27,0.134,-3.04E-08
0.27,0.136,-2.99E-08
0.27,0.138,-2.95E-08
0.27,0.14,-2.91E-08
0.27,0.142,-2.87E-08
0.27,0.144,-2.84E-08
0.27,0.146,-2.80E-08
0.27,0.148,-2.77E-08
0.27,0.15,-2.75E-08
0.27,0.155,-2.68E-08
0.27,0.16,-2.63E-08
0.27,0.165,-2.58E-08
0.27,0.17,-2.54E-08
0.27,0.175,-2.50E-08
0.27,0.18,-2.46E-08
0.27,0.185,-2.43E-08
0.27,0.19,-2.40E-08
0.27,0.195,-2.38E-08
0.27,0.2,-2.35E-08
0.27,0.21,-2.31E-08
0.27,0.22,-2.27E-08
0.27,0.23,-2.24E-08
0.27,0.24,-2.21E-08
0.27,0.25,-2.19E-08
0.27,0.26,-2.16E-08
0.27,0.27,-2.14E-08
0.27,0.28,-2.12E-08
0.27,0.29,-2.11E-08
0.27,0.3,-2.09E-08
0.27,0.32,-2.06E-08
0.27,0.34,-2.03E-08
0.27,0.36,-2.01E-08
0.27,0.38,-1.99E-08
0.27,0.4,-1.98E-08
0.27,0.42,-1.96E-08
0.27,0.44,-1.94E-08
0.27,0.46,-1.93E-08
0.27,0.48,-1.92E-08
0.27,0.5,-1.91E-08
0.27,0.52,-1.90E-08
0.27,0.54,-1.89E-08
0.27,0.56,-1.88E-08
0.27,0.58,-1.87E-08
0.27,0.6,-1.86E-08
0.27,0.65,-1.85E-08
0.27,0.7,-1.83E-08
0.27,0.75,-1.82E-08
0.27,0.8,-1.80E-08
0.27,0.85,-1.79E-08
0.27,0.9,-1.78E-08
0.27,0.95,-1.78E-08
0.27,1,-1.77E-08
0.27,1.05,-1.76E-08
0.27,1.1,-1.75E-08
0.27,1.2,-1.74E-08
0.27,1.3,-1.73E-08
0.27,1.4,-1.72E-08
0.27,1.5,-1.71E-08
0.27,1.6,-1.70E-08
0.27,1.7,-1.70E-08
0.27,1.8,-1.69E-08
0.27,1.9,-1.69E-08
0.27,2,-1.68E-08
0.27,2.1,-1.68E-08
0.27,2.3,-1.67E-08
0.27,2.5,-1.66E-08
0.27,2.7,-1.65E-08
0.27,2.9,-1.65E-08
0.27,3.1,-1.64E-08
0.27,3.3,-1.64E-08
0.27,3.5,-1.63E-08
0.27,3.7,-1.63E-08
0.27,3.9,-1.62E-08
0.27,4.1,-1.62E-08
0.27,4.3,-1.62E-08
0.27,4.5,-1.61E-08
0.27,4.7,-1.61E-08
0.27,4.9,-1.61E-08
0.27,5.1,-1.61E-08
0.27,5.6,-1.60E-08
0.27,6.1,-1.60E-08
0.27,6.6,-1.59E-08
0.27,7.1,-1.59E-08
0.27,7.6,-1.59E-08
0.27,8.1,-1.58E-08
0.27,8.6,-1.58E-08
0.27,9.1,-1.58E-08
0.27,9.6,-1.57E-08
0.27,10.1,-1.57E-08
0.27,11.1,-1.57E-08
0.27,12.1,-1.57E-08
0.27,13.1,-1.56E-08
0.27,14.1,-1.56E-08
0.27,15.1,-1.56E-08
0.27,16.1,-1.56E-08
0.27,17.1,-1.55E-08
0.27,18.1,-1.55E-08
0.27,19.1,-1.55E-08
0.27,20.1,-1.55E-08
0.27,22.1,-1.55E-08
0.27,24.1,-1.54E-08
0.27,26.1,-1.54E-08
0.27,28.1,-1.54E-08
0.27,30.1,-1.54E-08
0.27,32.1,-1.54E-08
0.27,34.1,-1.53E-08
0.27,36.1,-1.53E-08
0.27,38.1,-1.53E-08
0.27,40.1,-1.53E-08
0.27,42.1,-1.53E-08
0.27,44.1,-1.53E-08
0.27,46.1,-1.53E-08
0.27,48.1,-1.53E-08
0.27,50.1,-1.53E-08
0.27,55.1,-1.53E-08
0.27,60.1,-1.52E-08
0.27,65.1,-1.52E-08
0.27,70.1,-1.52E-08
0.27,75.1,-1.52E-08
0.27,80.1,-1.52E-08
0.27,85.1,-1.52E-08
0.27,90.1,-1.52E-08
0.27,95.1,-1.52E-08
0.27,100.1,-1.52E-08
0.28,0,-1.04E-11
0.28,0.01,-1.02E-11
0.28,0.02,-1.01E-11
0.28,0.03,-9.93E-12
0.28,0.04,-9.81E-12
0.28,0.05,-9.71E-12
0.28,0.06,-9.63E-12
0.28,0.07,-9.55E-12
0.28,0.08,-9.49E-12
0.28,0.09,-9.42E-12
0.28,0.091,-9.42E-12
0.28,0.092,-9.41E-12
0.28,0.093,-9.41E-12
0.28,0.094,-9.40E-12
0.28,0.095,-9.40E-12
0.28,0.096,-9.39E-12
0.28,0.097,-9.38E-12
0.28,0.098,-9.38E-12
0.28,0.099,-9.37E-12
0.28,0.1,-2.00E-08
0.28,0.1001,-2.48E-07
0.28,0.1002,-1.99E-07
0.28,0.1003,-1.73E-07
0.28,0.1004,-1.56E-07
0.28,0.1005,-1.43E-07
0.28,0.1006,-1.33E-07
0.28,0.1007,-1.26E-07
0.28,0.1008,-1.19E-07
0.28,0.1009,-1.14E-07
0.28,0.101,-1.09E-07
0.28,0.1011,-1.05E-07
0.28,0.1012,-1.02E-07
0.28,0.1013,-9.84E-08
0.28,0.1014,-9.56E-08
0.28,0.1015,-9.30E-08
0.28,0.1016,-9.06E-08
0.28,0.1017,-8.84E-08
0.28,0.1018,-8.64E-08
0.28,0.1019,-8.45E-08
0.28,0.102,-8.28E-08
0.28,0.1022,-7.97E-08
0.28,0.1024,-7.69E-08
0.28,0.1026,-7.45E-08
0.28,0.1028,-7.23E-08
0.28,0.103,-7.04E-08
0.28,0.1032,-6.86E-08
0.28,0.1034,-6.69E-08
0.28,0.1036,-6.55E-08
0.28,0.1038,-6.41E-08
0.28,0.104,-6.28E-08
0.28,0.1042,-6.16E-08
0.28,0.1044,-6.05E-08
0.28,0.1046,-5.95E-08
0.28,0.1048,-5.85E-08
0.28,0.105,-5.76E-08
0.28,0.1055,-5.55E-08
0.28,0.106,-5.37E-08
0.28,0.1065,-5.21E-08
0.28,0.107,-5.07E-08
0.28,0.1075,-4.94E-08
0.28,0.108,-4.82E-08
0.28,0.1085,-4.72E-08
0.28,0.109,-4.62E-08
0.28,0.1095,-4.53E-08
0.28,0.11,-4.45E-08
0.28,0.111,-4.30E-08
0.28,0.112,-4.17E-08
0.28,0.113,-4.06E-08
0.28,0.114,-3.96E-08
0.28,0.115,-3.87E-08
0.28,0.116,-3.79E-08
0.28,0.117,-3.71E-08
0.28,0.118,-3.65E-08
0.28,0.119,-3.58E-08
0.28,0.12,-3.53E-08
0.28,0.122,-3.42E-08
0.28,0.124,-3.33E-08
0.28,0.126,-3.25E-08
0.28,0.128,-3.18E-08
0.28,0.13,-3.12E-08
0.28,0.132,-3.06E-08
0.28,0.134,-3.01E-08
0.28,0.136,-2.97E-08
0.28,0.138,-2.92E-08
0.28,0.14,-2.88E-08
0.28,0.142,-2.85E-08
0.28,0.144,-2.81E-08
0.28,0.146,-2.78E-08
0.28,0.148,-2.75E-08
0.28,0.15,-2.72E-08
0.28,0.155,-2.66E-08
0.28,0.16,-2.61E-08
0.28,0.165,-2.56E-08
0.28,0.17,-2.51E-08
0.28,0.175,-2.48E-08
0.28,0.18,-2.44E-08
0.28,0.185,-2.41E-08
0.28,0.19,-2.38E-08
0.28,0.195,-2.36E-08
0.28,0.2,-2.33E-08
0.28,0.21,-2.29E-08
0.28,0.22,-2.26E-08
0.28,0.23,-2.22E-08
0.28,0.24,-2.19E-08
0.28,0.25,-2.17E-08
0.28,0.26,-2.15E-08
0.28,0.27,-2.13E-08
0.28,0.28,-2.11E-08
0.28,0.29,-2.09E-08
0.28,0.3,-2.07E-08
0.28,0.32,-2.04E-08
0.28,0.34,-2.02E-08
0.28,0.36,-2.00E-08
0.28,0.38,-1.98E-08
0.28,0.4,-1.96E-08
0.28,0.42,-1.94E-08
0.28,0.44,-1.93E-08
0.28,0.46,-1.92E-08
0.28,0.48,-1.91E-08
0.28,0.5,-1.89E-08
0.28,0.52,-1.88E-08
0.28,0.54,-1.87E-08
0.28,0.56,-1.87E-08
0.28,0.58,-1.86E-08
0.28,0.6,-1.85E-08
0.28,0.65,-1.83E-08
0.28,0.7,-1.82E-08
0.28,0.75,-1.80E-08
0.28,0.8,-1.79E-08
0.28,0.85,-1.78E-08
0.28,0.9,-1.77E-08
0.28,0.95,-1.76E-08
0.28,1,-1.75E-08
0.28,1.05,-1.75E-08
0.28,1.1,-1.74E-08
0.28,1.2,-1.73E-08
0.28,1.3,-1.72E-08
0.28,1.4,-1.71E-08
0.28,1.5,-1.70E-08
0.28,1.6,-1.69E-08
0.28,1.7,-1.69E-08
0.28,1.8,-1.68E-08
0.28,1.9,-1.67E-08
0.28,2,-1.67E-08
0.28,2.1,-1.66E-08
0.28,2.3,-1.66E-08
0.28,2.5,-1.65E-08
0.28,2.7,-1.64E-08
0.28,2.9,-1.64E-08
0.28,3.1,-1.63E-08
0.28,3.3,-1.63E-08
0.28,3.5,-1.62E-08
0.28,3.7,-1.62E-08
0.28,3.9,-1.61E-08
0.28,4.1,-1.61E-08
0.28,4.3,-1.61E-08
0.28,4.5,-1.60E-08
0.28,4.7,-1.60E-08
0.28,4.9,-1.60E-08
0.28,5.1,-1.60E-08
0.28,5.6,-1.59E-08
0.28,6.1,-1.59E-08
0.28,6.6,-1.58E-08
0.28,7.1,-1.58E-08
0.28,7.6,-1.58E-08
0.28,8.1,-1.57E-08
0.28,8.6,-1.57E-08
0.28,9.1,-1.57E-08
0.28,9.6,-1.56E-08
0.28,10.1,-1.56E-08
0.28,11.1,-1.56E-08
0.28,12.1,-1.56E-08
0.28,13.1,-1.55E-08
0.28,14.1,-1.55E-08
0.28,15.1,-1.55E-08
0.28,16.1,-1.55E-08
0.28,17.1,-1.54E-08
0.28,18.1,-1.54E-08
0.28,19.1,-1.54E-08
0.28,20.1,-1.54E-08
0.28,22.1,-1.54E-08
0.28,24.1,-1.53E-08
0.28,26.1,-1.53E-08
0.28,28.1,-1.53E-08
0.28,30.1,-1.53E-08
0.28,32.1,-1.53E-08
0.28,34.1,-1.52E-08
0.28,36.1,-1.52E-08
0.28,38.1,-1.52E-08
0.28,40.1,-1.52E-08
0.28,42.1,-1.52E-08
0.28,44.1,-1.52E-08
0.28,46.1,-1.52E-08
0.28,48.1,-1.52E-08
0.28,50.1,-1.52E-08
0.28,55.1,-1.52E-08
0.28,60.1,-1.51E-08
0.28,65.1,-1.51E-08
0.28,70.1,-1.51E-08
0.28,75.1,-1.51E-08
0.28,80.1,-1.51E-08
0.28,85.1,-1.51E-08
0.28,90.1,-1.51E-08
0.28,95.1,-1.51E-08
0.28,100.1,-1.51E-08
0.29,0,-1.04E-11
0.29,0.01,-1.02E-11
0.29,0.02,-1.01E-11
0.29,0.03,-9.93E-12
0.29,0.04,-9.81E-12
0.29,0.05,-9.71E-12
0.29,0.06,-9.63E-12
0.29,0.07,-9.55E-12
0.29,0.08,-9.49E-12
0.29,0.09,-9.42E-12
0.29,0.091,-9.42E-12
0.29,0.092,-9.41E-12
0.29,0.093,-9.41E-12
0.29,0.094,-9.40E-12
0.29,0.095,-9.40E-12
0.29,0.096,-9.39E-12
0.29,0.097,-9.38E-12
0.29,0.098,-9.38E-12
0.29,0.099,-9.37E-12
0.29,0.1,-1.86E-08
0.29,0.1001,-2.29E-07
0.29,0.1002,-1.87E-07
0.29,0.1003,-1.64E-07
0.29,0.1004,-1.49E-07
0.29,0.1005,-1.38E-07
0.29,0.1006,-1.29E-07
0.29,0.1007,-1.22E-07
0.29,0.1008,-1.16E-07
0.29,0.1009,-1.11E-07
0.29,0.101,-1.06E-07
0.29,0.1011,-1.03E-07
0.29,0.1012,-9.92E-08
0.29,0.1013,-9.62E-08
0.29,0.1014,-9.34E-08
0.29,0.1015,-9.10E-08
0.29,0.1016,-8.87E-08
0.29,0.1017,-8.66E-08
0.29,0.1018,-8.47E-08
0.29,0.1019,-8.29E-08
0.29,0.102,-8.13E-08
0.29,0.1022,-7.83E-08
0.29,0.1024,-7.56E-08
0.29,0.1026,-7.33E-08
0.29,0.1028,-7.11E-08
0.29,0.103,-6.92E-08
0.29,0.1032,-6.75E-08
0.29,0.1034,-6.59E-08
0.29,0.1036,-6.45E-08
0.29,0.1038,-6.31E-08
0.29,0.104,-6.19E-08
0.29,0.1042,-6.08E-08
0.29,0.1044,-5.97E-08
0.29,0.1046,-5.87E-08
0.29,0.1048,-5.77E-08
0.29,0.105,-5.68E-08
0.29,0.1055,-5.48E-08
0.29,0.106,-5.30E-08
0.29,0.1065,-5.14E-08
0.29,0.107,-5.00E-08
0.29,0.1075,-4.88E-08
0.29,0.108,-4.77E-08
0.29,0.1085,-4.66E-08
0.29,0.109,-4.57E-08
0.29,0.1095,-4.48E-08
0.29,0.11,-4.40E-08
0.29,0.111,-4.25E-08
0.29,0.112,-4.13E-08
0.29,0.113,-4.02E-08
0.29,0.114,-3.92E-08
0.29,0.115,-3.83E-08
0.29,0.116,-3.75E-08
0.29,0.117,-3.67E-08
0.29,0.118,-3.61E-08
0.29,0.119,-3.55E-08
0.29,0.12,-3.49E-08
0.29,0.122,-3.39E-08
0.29,0.124,-3.30E-08
0.29,0.126,-3.22E-08
0.29,0.128,-3.15E-08
0.29,0.13,-3.09E-08
0.29,0.132,-3.03E-08
0.29,0.134,-2.98E-08
0.29,0.136,-2.94E-08
0.29,0.138,-2.89E-08
0.29,0.14,-2.85E-08
0.29,0.142,-2.82E-08
0.29,0.144,-2.78E-08
0.29,0.146,-2.75E-08
0.29,0.148,-2.72E-08
0.29,0.15,-2.70E-08
0.29,0.155,-2.63E-08
0.29,0.16,-2.58E-08
0.29,0.165,-2.53E-08
0.29,0.17,-2.49E-08
0.29,0.175,-2.45E-08
0.29,0.18,-2.42E-08
0.29,0.185,-2.39E-08
0.29,0.19,-2.36E-08
0.29,0.195,-2.34E-08
0.29,0.2,-2.31E-08
0.29,0.21,-2.27E-08
0.29,0.22,-2.23E-08
0.29,0.23,-2.20E-08
0.29,0.24,-2.17E-08
0.29,0.25,-2.15E-08
0.29,0.26,-2.13E-08
0.29,0.27,-2.11E-08
0.29,0.28,-2.09E-08
0.29,0.29,-2.07E-08
0.29,0.3,-2.05E-08
0.29,0.32,-2.03E-08
0.29,0.34,-2.00E-08
0.29,0.36,-1.98E-08
0.29,0.38,-1.96E-08
0.29,0.4,-1.94E-08
0.29,0.42,-1.93E-08
0.29,0.44,-1.91E-08
0.29,0.46,-1.90E-08
0.29,0.48,-1.89E-08
0.29,0.5,-1.88E-08
0.29,0.52,-1.87E-08
0.29,0.54,-1.86E-08
0.29,0.56,-1.85E-08
0.29,0.58,-1.84E-08
